attack,avg_delay_ms,avg_delay_ms_std,avg_hops,avg_hops_std,bytes_delivered,bytes_delivered_std,cmdp_checks,cmdp_checks_std,cmdp_violation_rate,cmdp_violation_rate_std,cmdp_violations,cmdp_violations_std,control_packets,control_packets_std,det_f1,det_f1_std,det_fn,det_fn_std,det_fp,det_fp_std,det_fpr,det_fpr_std,det_precision,det_precision_std,det_tn,det_tn_std,det_tp,det_tp_std,det_tpr,det_tpr_std,ecc_agreement_seconds,ecc_agreement_seconds_std,ecc_agreements,ecc_agreements_std,ecc_backend,ecc_encrypt_calls,ecc_encrypt_calls_std,ecc_encrypt_seconds,ecc_encrypt_seconds_std,ecc_keygen_seconds,ecc_keygen_seconds_std,ecc_seconds_per_agreement,ecc_seconds_per_agreement_std,ecc_seconds_per_packet,ecc_seconds_per_packet_std,eighty_pct_dead_round,eighty_pct_dead_round_std,energy_harvested,energy_harvested_std,energy_model,energy_spent,energy_spent_std,loss_dead_relay,loss_dead_relay_std,loss_link_failure,loss_link_failure_std,loss_malicious_drop,loss_malicious_drop_std,loss_no_route,loss_no_route_std,malicious_fraction,malicious_fraction_std,malicious_nodes,malicious_nodes_std,mean_residual_energy,mean_residual_energy_std,n_nodes,n_nodes_std,network_lifetime,network_lifetime_std,nodes_alive,nodes_alive_std,nodes_contested,nodes_contested_std,nodes_revoked,nodes_revoked_std,packet_loss_bytes,packet_loss_bytes_std,packets_lost,packets_lost_std,packets_received,packets_received_std,packets_sent,packets_sent_std,pdr,pdr_std,pdr_routable,pdr_routable_std,policy,rounds_completed,rounds_completed_std,route_cache_hits,route_cache_hits_std,route_cache_misses,route_cache_misses_std,route_discoveries,route_discoveries_std,route_failures,route_failures_std,seed,seed_std,speed,speed_std,throughput,throughput_std,total_energy_consumed,total_energy_consumed_std,n_runs,label,policy_label,sweep,node_count,mean_route_score,mean_route_score_std,score_weight_energy_b,score_weight_energy_b_std,score_weight_trust_a,score_weight_trust_a_std,action0_share,action0_share_std,mean_reward,mean_reward_std,q_states,q_states_std,q_updates,q_updates_std,states_preferring_action0,states_preferring_action0_std,trust_source,code_trust_mean,code_trust_mean_std,trust_signal_correlation,trust_signal_correlation_std,watchdog_trust_mean,watchdog_trust_mean_std,action_share_balanced,action_share_balanced_std,action_share_diversified,action_share_diversified_std,action_share_energy_surplus,action_share_energy_surplus_std,action_share_trust,action_share_trust_std,c_contested_events,c_contested_events_std,c_contested_final,c_contested_final_std,c_detection_passes,c_detection_passes_std,c_use_cmdp,c_use_cmdp_std,c_use_gan,c_use_gan_std,c_use_lstm,c_use_lstm_std,cmdp_backend,cmdp_constraint_checks,cmdp_constraint_checks_std,cmdp_constraint_violations,cmdp_constraint_violations_std,cmdp_lambda_final,cmdp_lambda_final_std,cmdp_lambda_max_seen,cmdp_lambda_max_seen_std,cmdp_lambda_saturated,cmdp_lambda_saturated_std,cmdp_using_fallback,cmdp_using_fallback_std,dqn_epsilon_final,dqn_epsilon_final_std,dqn_final_loss,dqn_final_loss_std,dqn_train_steps,dqn_train_steps_std,gan_backend,gan_epochs_run,gan_epochs_run_std,gan_fallback_reason,gan_final_d_loss,gan_final_d_loss_std,gan_final_g_loss,gan_final_g_loss_std,gan_threshold,gan_threshold_std,gan_using_fallback,gan_using_fallback_std,gan_val_auc,gan_val_auc_std,lstm_backend,lstm_epochs_run,lstm_epochs_run_std,lstm_eval_beats_persistence,lstm_eval_beats_persistence_std,lstm_eval_beats_seasonal_naive,lstm_eval_beats_seasonal_naive_std,lstm_eval_improvement_over_best_baseline,lstm_eval_improvement_over_best_baseline_std,lstm_eval_lstm_mae,lstm_eval_lstm_mae_std,lstm_eval_lstm_rmse,lstm_eval_lstm_rmse_std,lstm_eval_n_test,lstm_eval_n_test_std,lstm_eval_persistence_mae,lstm_eval_persistence_mae_std,lstm_eval_persistence_rmse,lstm_eval_persistence_rmse_std,lstm_eval_seasonal_naive_mae,lstm_eval_seasonal_naive_mae_std,lstm_eval_seasonal_naive_rmse,lstm_eval_seasonal_naive_rmse_std,lstm_final_loss,lstm_final_loss_std,lstm_horizon,lstm_horizon_std,lstm_using_fallback,lstm_using_fallback_std
none,63.432115643204625,1.498476823327298,4.0164312125605495,0.14647605560987675,327486.5,16959.5,0.0,0.0,0.0,0.0,0.0,0.0,1618.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.004429500013429788,0.000435800002378528,29.0,0.0,x25519,490.0,17.0,0.0274171000073693,0.0006678000227111625,0.0022669999998470303,0.00023610000425833277,0.00015274137977344096,1.502758628891476e-05,5.5973355697715566e-05,5.790755594897994e-07,200.0,0.0,0.0,0.0,linear,1028.9196777343734,0.650439453127774,0.0,0.0,67.5,6.5,0.0,0.0,307.5,14.5,0.0,0.0,0.0,0.0,66.84750405701864,0.002041662289499868,60.0,0.0,200.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,288161.5,19133.5,375.0,21.0,422.5,23.5,797.5,2.5,0.5296933962264151,0.027806603773584904,0.8616181075930629,0.01806631055289376,AODV,200.0,0.0,221.5,5.5,576.0,3.0,576.0,3.0,307.5,14.5,20261409.0,500.0,20000.0,0.0,13.09946,0.6783799999999998,1989.1497565788814,0.12249973737027631,2,AODV (reference baseline) @ N=60,AODV (reference baseline),density,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,72.89037101738614,2.1032083431653845,5.377197257796618,0.24471086941186293,318845.5,102733.5,0.0,0.0,0.0,0.0,0.0,0.0,2155.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.005616450014713337,0.0006299499964370625,40.0,0.0,x25519,521.5,169.5,0.02948120000655763,0.005778499969892437,0.002909800006818841,0.00038809999932709616,0.0001404112503678334,1.5748749910926555e-05,5.918213910391328e-05,8.155076909340102e-06,200.0,0.0,0.0,0.0,linear,1379.9091796874975,397.913769531251,0.0,0.0,104.5,35.5,0.0,0.0,269.5,167.5,0.0,0.0,0.0,0.0,66.73673744879817,4.950059328843338,80.0,0.0,200.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,289766.5,99926.5,374.0,132.0,417.0,134.0,791.0,2.0,0.5267558180978364,0.1680739423056945,0.8006861761610314,0.0032910965662412694,AODV,200.0,0.0,136.5,67.5,654.5,65.5,654.5,65.5,269.5,167.5,20261409.0,500.0,20000.0,0.0,12.753820000000001,4.10934,2661.0610040961465,396.00474630746726,2,AODV (reference baseline) @ N=80,AODV (reference baseline),density,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,76.07909628041838,3.2423150414457496,5.853106750066701,0.4940903566240773,448037.0,23409.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.00619225000446022,0.000664650006001466,40.0,0.0,x25519,747.5,5.5,0.04024680002112291,0.0022811000162619166,0.0036991999950259924,0.0006601999957638327,0.00015480625011150552,1.661625015003665e-05,5.386724273772621e-05,3.4479864231697795e-06,200.0,0.0,0.0,0.0,linear,2175.262988281259,138.01757812499886,0.0,0.0,166.0,23.0,0.0,0.0,39.5,14.5,0.0,0.0,0.0,0.0,62.19276495227632,1.382721130185537,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,160163.5,27606.5,205.5,37.5,581.5,28.5,787.0,9.0,0.739392657374275,0.04466903928382271,0.7776879901776541,0.032404971309729635,AODV,200.0,0.0,175.0,24.0,612.0,33.0,612.0,33.0,39.5,14.5,20261409.0,500.0,20000.0,0.0,17.92148,0.9363600000000005,3780.7235047723675,138.27211301855323,2,AODV (reference baseline) @ N=100,AODV (reference baseline),density,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,73.05717031704123,3.829989529048497,5.453473657182682,0.5188446819176638,441048.0,5245.0,0.0,0.0,0.0,0.0,0.0,0.0,3220.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0054815500079712365,7.855000148992985e-05,40.0,0.0,x25519,686.0,16.0,0.034943999993629404,0.0002854999856936047,0.002885099998820806,2.660000609466806e-05,0.00013703875019928092,1.9637500372482464e-06,5.0956788697237475e-05,7.723157922189452e-07,200.0,0.0,0.0,0.0,linear,1887.3134765624995,229.7538085937648,0.0,0.0,114.0,10.0,0.0,0.0,101.5,28.5,0.0,0.0,0.0,0.0,68.2478695200264,1.8912398985528966,120.0,0.0,200.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,165911.0,14951.0,215.5,18.5,572.0,6.0,787.5,12.5,0.7266532258064516,0.019153225806451624,0.8340689713824042,0.010707148020580814,AODV,200.0,0.0,194.5,14.5,593.0,2.0,593.0,2.0,101.5,28.5,20261409.0,500.0,20000.0,0.0,17.64192,0.20979999999999954,3810.255657596831,226.94878782634873,2,AODV (reference baseline) @ N=120,AODV (reference baseline),density,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,70.44375336590033,2.2201878667963584,5.0067417328434285,0.24248903638734154,500807.5,3936.5,0.0,0.0,0.0,0.0,0.0,0.0,4047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.006472300006862497,0.0008149000022967812,40.0,0.0,x25519,792.5,0.5,0.043127849958182196,0.0023934500186442165,0.0036435500005609356,0.0004438499927346129,0.0001618075001715624,2.0372500057419532e-05,5.441811616615408e-05,2.9857930101717835e-06,200.0,0.0,0.0,0.0,linear,1982.265673828127,113.21782226563585,0.0,0.0,143.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,70.78072345691069,0.7419941991453243,150.0,0.0,200.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,114262.5,566.5,146.0,0.0,649.5,0.5,795.5,0.5,0.8164675579153631,0.00011535665750134205,0.8195582877959927,0.00011384335154829284,AODV,200.0,0.0,236.5,2.5,559.0,2.0,559.0,2.0,3.0,0.0,20261409.0,500.0,20000.0,0.0,20.0323,0.15746000000000038,4382.891481463396,111.29912987179796,2,AODV (reference baseline) @ N=150,AODV (reference baseline),density,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,66.28184477614599,1.9698750214164207,4.404505989669195,0.3214199362567318,518718.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0067889499878219794,9.625000529922545e-05,40.0,0.0,x25519,796.0,4.0,0.044423199995435425,0.0007014000166236656,0.004089949990884634,0.00021224998636171222,0.0001697237496955495,2.4062501324806362e-06,5.580502145880698e-05,6.007285562668813e-07,200.0,0.0,0.0,0.0,linear,1758.8245117187503,136.90058593749848,0.0,0.0,121.5,3.5,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,75.19840747014794,0.6939237969372769,200.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,96037.5,520.5,125.5,0.5,674.5,0.5,800.0,0.0,0.843125,0.0006249999999999867,0.8473800505050505,0.003630050505050497,AODV,200.0,0.0,310.0,12.0,490.0,12.0,490.0,12.0,4.0,4.0,20261409.0,500.0,20000.0,0.0,20.74872,0.0042799999999996174,4960.31850597041,138.7847593874567,2,AODV (reference baseline) @ N=200,AODV (reference baseline),density,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,63.8976144200398,0.8929647019505715,4.1223364449170905,0.13820946079010588,326154.0,13627.0,0.0,0.0,0.0,0.0,0.0,0.0,1618.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.003932999994503916,0.00010020000809163321,29.0,0.0,x25519,493.5,13.5,0.0287114499915333,0.002083249986753799,0.0020887000046059256,7.540000478911679e-05,0.00013562068946565227,3.4551726928149363e-06,5.8107234944117795e-05,2.631818267493835e-06,200.0,0.0,0.0,0.0,linear,1053.0378906249966,5.020996093748067,0.0,0.0,71.5,5.5,0.0,0.0,304.0,11.0,0.0,0.0,0.0,0.0,66.4164453273895,0.113130416698624,60.0,0.0,200.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,289494.0,15801.0,375.5,16.5,422.0,19.0,797.5,2.5,0.5290841194968554,0.02216588050314466,0.854702909270217,0.015119575936883622,EAURP,200.0,0.0,224.0,10.0,573.5,7.5,573.5,7.5,304.0,11.0,20261409.0,500.0,20000.0,0.0,13.04616,0.5450800000000005,2015.0132803566303,6.787825001917554,2,EAURP (base.pdf substrate) @ N=60,EAURP (base.pdf substrate),density,60,0.7804593539248662,0.0009665994987967386,0.664164453273895,0.0011313041669862578,0.33583554672610505,0.0011313041669862578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,72.31888731911947,2.3761687104437783,5.345789605197401,0.3059345327336329,322204.0,101722.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.005403350000051432,0.0001209499914693879,40.0,0.0,x25519,528.0,171.0,0.030780300028709462,0.008001199992577313,0.0027969000020675594,3.280000419181306e-05,0.00013508375000128583,3.0237497867346947e-06,5.964420246782268e-05,4.1628004345082645e-06,200.0,0.0,0.0,0.0,linear,1388.6557617187452,401.00019531249905,0.0,0.0,107.0,40.0,0.0,0.0,266.5,165.5,0.0,0.0,0.0,0.0,66.60564287620211,4.991433825382089,80.0,0.0,200.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,288706.5,95967.5,373.5,125.5,421.0,131.0,794.5,5.5,0.5287769328263625,0.1612230671736375,0.8010122503937197,0.011312679578269091,EAURP,200.0,0.0,138.5,62.5,656.0,57.0,656.0,57.0,266.5,165.5,20261409.0,500.0,20000.0,0.0,12.88816,4.06888,2671.548569903831,399.3147060305678,2,EAURP (base.pdf substrate) @ N=80,EAURP (base.pdf substrate),density,80,0.7843038011150848,0.01582757089469644,0.6660564287620211,0.049914338253820856,0.3339435712379789,0.049914338253820856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,75.65512778716402,3.918824364180743,5.78601292078994,0.587274750442937,470639.5,23716.5,0.0,0.0,0.0,0.0,0.0,0.0,2698.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.006567799997355905,0.00012999998762097675,40.0,0.0,x25519,775.0,1.0,0.04249685006834625,0.0006319500116660492,0.0036701500011986354,0.00014424999062612187,0.0001641949999338976,3.2499996905244215e-06,5.4835788701383906e-05,8.861752262805591e-07,200.0,0.0,0.0,0.0,linear,2223.919824218754,191.45751953124602,0.0,0.0,166.0,24.0,0.0,0.0,24.5,0.5,0.0,0.0,0.0,0.0,61.71465033312569,1.9249815154335899,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,148201.0,20690.0,190.5,24.5,609.0,25.0,799.5,0.5,0.7617068210262828,0.03079317897371714,0.78576613655132,0.03124417272703056,EAURP,200.0,0.0,204.5,45.5,595.0,45.0,595.0,45.0,24.5,0.5,20261409.0,500.0,20000.0,0.0,18.82558,0.9486600000000003,3828.534966687431,192.4981515433592,2,EAURP (base.pdf substrate) @ N=100,EAURP (base.pdf substrate),density,100,0.7681975108444346,0.005259298592130257,0.6171465033312569,0.019249815154335936,0.3828534966687431,0.019249815154335936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,72.56294274004813,2.9879902404525964,5.39377063514797,0.4716467413426604,443548.0,9362.0,0.0,0.0,0.0,0.0,0.0,0.0,3235.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.006088800004363293,0.0002226999968115706,40.0,0.0,x25519,687.0,17.0,0.03642975002549065,0.0013796500406897394,0.0033027000008587493,3.0600001991842873e-05,0.00015222000010908232,5.56749992028927e-06,5.3109507119665457e-05,3.3224332776187085e-06,200.0,0.0,0.0,0.0,linear,1859.61220703125,200.07216796876435,0.0,0.0,111.0,6.0,0.0,0.0,108.5,21.5,0.0,0.0,0.0,0.0,68.47975389810605,1.6500596873755597,120.0,0.0,200.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,171613.0,10866.0,219.5,15.5,576.0,11.0,795.5,4.5,0.7241743046776232,0.017924304677623237,0.8385452001356852,0.004738381953866999,EAURP,200.0,0.0,202.0,16.0,593.5,11.5,593.5,11.5,108.5,21.5,20261409.0,500.0,20000.0,0.0,17.74192,0.37448000000000015,3782.4295322272737,198.00716248506683,2,EAURP (base.pdf substrate) @ N=120,EAURP (base.pdf substrate),density,120,0.7894419788887896,0.00714614339424241,0.6847975389810605,0.016500596873755602,0.31520246101893945,0.016500596873755602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
