attack,avg_delay_ms,avg_delay_ms_std,avg_hops,avg_hops_std,bytes_delivered,bytes_delivered_std,cmdp_checks,cmdp_checks_std,cmdp_violation_rate,cmdp_violation_rate_std,cmdp_violations,cmdp_violations_std,control_packets,control_packets_std,det_f1,det_f1_std,det_fn,det_fn_std,det_fp,det_fp_std,det_fpr,det_fpr_std,det_precision,det_precision_std,det_tn,det_tn_std,det_tp,det_tp_std,det_tpr,det_tpr_std,ecc_agreement_seconds,ecc_agreement_seconds_std,ecc_agreements,ecc_agreements_std,ecc_backend,ecc_encrypt_calls,ecc_encrypt_calls_std,ecc_encrypt_seconds,ecc_encrypt_seconds_std,ecc_keygen_seconds,ecc_keygen_seconds_std,ecc_seconds_per_agreement,ecc_seconds_per_agreement_std,ecc_seconds_per_packet,ecc_seconds_per_packet_std,eighty_pct_dead_round,eighty_pct_dead_round_std,energy_harvested,energy_harvested_std,energy_model,energy_spent,energy_spent_std,loss_dead_relay,loss_dead_relay_std,loss_link_failure,loss_link_failure_std,loss_malicious_drop,loss_malicious_drop_std,loss_no_route,loss_no_route_std,malicious_fraction,malicious_fraction_std,malicious_nodes,malicious_nodes_std,mean_residual_energy,mean_residual_energy_std,n_nodes,n_nodes_std,network_lifetime,network_lifetime_std,nodes_alive,nodes_alive_std,nodes_contested,nodes_contested_std,nodes_revoked,nodes_revoked_std,packet_loss_bytes,packet_loss_bytes_std,packets_lost,packets_lost_std,packets_received,packets_received_std,packets_sent,packets_sent_std,pdr,pdr_std,pdr_routable,pdr_routable_std,policy,rounds_completed,rounds_completed_std,route_cache_hits,route_cache_hits_std,route_cache_misses,route_cache_misses_std,route_discoveries,route_discoveries_std,route_failures,route_failures_std,seed,seed_std,speed,speed_std,throughput,throughput_std,total_energy_consumed,total_energy_consumed_std,n_runs,label,policy_label,sweep,speed_value,mean_route_score,mean_route_score_std,score_weight_energy_b,score_weight_energy_b_std,score_weight_trust_a,score_weight_trust_a_std,action0_share,action0_share_std,mean_reward,mean_reward_std,q_states,q_states_std,q_updates,q_updates_std,states_preferring_action0,states_preferring_action0_std,trust_source,code_trust_mean,code_trust_mean_std,trust_signal_correlation,trust_signal_correlation_std,watchdog_trust_mean,watchdog_trust_mean_std,action_share_balanced,action_share_balanced_std,action_share_diversified,action_share_diversified_std,action_share_energy_surplus,action_share_energy_surplus_std,action_share_trust,action_share_trust_std,c_contested_events,c_contested_events_std,c_contested_final,c_contested_final_std,c_detection_passes,c_detection_passes_std,c_use_cmdp,c_use_cmdp_std,c_use_gan,c_use_gan_std,c_use_lstm,c_use_lstm_std,cmdp_backend,cmdp_constraint_checks,cmdp_constraint_checks_std,cmdp_constraint_violations,cmdp_constraint_violations_std,cmdp_lambda_final,cmdp_lambda_final_std,cmdp_lambda_max_seen,cmdp_lambda_max_seen_std,cmdp_lambda_saturated,cmdp_lambda_saturated_std,cmdp_using_fallback,cmdp_using_fallback_std,dqn_epsilon_final,dqn_epsilon_final_std,dqn_final_loss,dqn_final_loss_std,dqn_train_steps,dqn_train_steps_std,gan_backend,gan_epochs_run,gan_epochs_run_std,gan_fallback_reason,gan_final_d_loss,gan_final_d_loss_std,gan_final_g_loss,gan_final_g_loss_std,gan_threshold,gan_threshold_std,gan_using_fallback,gan_using_fallback_std,gan_val_auc,gan_val_auc_std,lstm_backend,lstm_epochs_run,lstm_epochs_run_std,lstm_eval_beats_persistence,lstm_eval_beats_persistence_std,lstm_eval_beats_seasonal_naive,lstm_eval_beats_seasonal_naive_std,lstm_eval_improvement_over_best_baseline,lstm_eval_improvement_over_best_baseline_std,lstm_eval_lstm_mae,lstm_eval_lstm_mae_std,lstm_eval_lstm_rmse,lstm_eval_lstm_rmse_std,lstm_eval_n_test,lstm_eval_n_test_std,lstm_eval_persistence_mae,lstm_eval_persistence_mae_std,lstm_eval_persistence_rmse,lstm_eval_persistence_rmse_std,lstm_eval_seasonal_naive_mae,lstm_eval_seasonal_naive_mae_std,lstm_eval_seasonal_naive_rmse,lstm_eval_seasonal_naive_rmse_std,lstm_final_loss,lstm_final_loss_std,lstm_horizon,lstm_horizon_std,lstm_using_fallback,lstm_using_fallback_std
none,73.08817167462021,4.072365555887771,5.394215210355988,0.6025485436893203,480917.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005600449983830913,0.00015785000323376153,40.0,0.0,x25519,739.5,33.5,0.03792840000096476,0.002584899961220799,0.0030360500040842453,6.374999611580279e-05,0.0001400112495957728,3.946250080844046e-06,5.1236046696423084e-05,1.1744319092503412e-06,200.0,0.0,0.0,0.0,linear,2018.9520996093788,307.3461425781229,0.0,0.0,118.5,36.5,0.0,0.0,59.0,32.0,0.0,0.0,0.0,0.0,63.784485153179105,3.075950268998259,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,136760.5,158.5,177.5,4.5,621.0,3.0,798.5,1.5,0.7777180050188206,0.005218005018820582,0.8416676133969048,0.04218507782122555,AODV,200.0,0.0,211.5,49.5,587.0,51.0,587.0,51.0,59.0,32.0,20261409.0,500.0,10000.0,0.0,19.23668,0.03415999999999997,3621.5514846820893,307.5950268998263,2,AODV (reference baseline) @ v=10000,AODV (reference baseline),speed,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,75.57093124612291,0.6267010943340736,5.765759380375215,0.04033036321452865,485275.0,9129.0,0.0,0.0,0.0,0.0,0.0,0.0,2689.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.006549149995407788,0.0010730499961937312,40.0,0.0,x25519,770.5,0.5,0.040648449958098354,0.000983750000159489,0.0033863500066217966,0.0005089500118629076,0.0001637287498851947,2.6826249904843283e-05,5.2755131331741034e-05,1.2425339837684873e-06,200.0,0.0,0.0,0.0,linear,2241.5261230468677,11.760205078120862,0.0,0.0,138.0,8.0,0.0,0.0,16.5,13.5,0.0,0.0,0.0,0.0,61.55792392730923,0.12034093563014991,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,123468.0,17051.0,154.5,21.5,632.5,8.5,787.0,13.0,0.8040826873385013,0.024082687338501274,0.8208887092155575,0.010499098825947073,AODV,200.0,0.0,201.5,8.5,585.5,21.5,585.5,21.5,16.5,13.5,20261409.0,500.0,15000.0,0.0,19.411,0.36516000000000126,3844.2076072690775,12.034093563014267,2,AODV (reference baseline) @ v=15000,AODV (reference baseline),speed,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,76.07909628041838,3.2423150414457496,5.853106750066701,0.4940903566240773,448037.0,23409.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005787599990071612,0.00048380000043835025,40.0,0.0,x25519,747.5,5.5,0.03708180001012806,0.00016440006402262952,0.002896100006182678,8.119999256450683e-05,0.00014468999975179032,1.2095000010958762e-05,4.961206335112891e-05,5.849717892359041e-07,200.0,0.0,0.0,0.0,linear,2175.262988281259,138.01757812499886,0.0,0.0,166.0,23.0,0.0,0.0,39.5,14.5,0.0,0.0,0.0,0.0,62.19276495227632,1.382721130185537,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,160163.5,27606.5,205.5,37.5,581.5,28.5,787.0,9.0,0.739392657374275,0.04466903928382271,0.7776879901776541,0.032404971309729635,AODV,200.0,0.0,175.0,24.0,612.0,33.0,612.0,33.0,39.5,14.5,20261409.0,500.0,20000.0,0.0,17.92148,0.9363600000000005,3780.7235047723675,138.27211301855323,2,AODV (reference baseline) @ v=20000,AODV (reference baseline),speed,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,73.44765851455497,0.9985646375734447,5.462270323801439,0.15261640759014616,451562.5,26954.5,0.0,0.0,0.0,0.0,0.0,0.0,2687.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005620199988698005,0.00022359998729371,40.0,0.0,x25519,717.5,39.5,0.03682410000510572,0.002376699938395177,0.0031204999977489933,0.00017260000458918512,0.0001405049997174501,5.589999682342742e-06,5.129589340413125e-05,4.885186744696758e-07,200.0,0.0,0.0,0.0,linear,1953.9939453125041,145.92333984375887,0.0,0.0,134.0,5.0,0.0,0.0,73.5,48.5,0.0,0.0,0.0,0.0,64.43297842733313,1.4528555532875134,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,160468.5,31588.5,207.5,43.5,583.5,34.5,791.0,9.0,0.7382656649616368,0.05201566496163684,0.8130574812078419,0.0033229679335055606,AODV,200.0,0.0,185.5,0.5,605.5,9.5,605.5,9.5,73.5,48.5,20261409.0,500.0,25000.0,0.0,18.0625,1.0781799999999997,3556.7021572666863,145.2855553287509,2,AODV (reference baseline) @ v=25000,AODV (reference baseline),speed,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,73.31454580195695,0.260830988007001,5.443533561663886,0.04629694681069063,453214.5,2472.5,0.0,0.0,0.0,0.0,0.0,0.0,2688.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.006074099996112636,0.00012269999751879368,40.0,0.0,x25519,776.5,18.5,0.04021939995618595,0.00013050001325609628,0.003304650010250043,7.55500077502802e-05,0.0001518524999028159,3.0674999379698366e-06,5.182917362178462e-05,1.402884385394864e-06,200.0,0.0,0.0,0.0,linear,2061.5437499999966,53.58007812498806,0.0,0.0,192.0,13.0,0.0,0.0,16.5,15.5,0.0,0.0,0.0,0.0,63.357554936993544,0.5305098629717477,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,159602.5,3052.5,208.5,2.5,584.5,5.5,793.0,3.0,0.7370587112779086,0.0041473188728452515,0.7529953037619688,0.010856938982094555,AODV,200.0,0.0,175.0,8.0,618.0,11.0,618.0,11.0,16.5,15.5,20261409.0,500.0,30000.0,0.0,18.12858,0.09890000000000043,3664.244506300646,53.050986297174404,2,AODV (reference baseline) @ v=30000,AODV (reference baseline),speed,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,74.54646046512391,0.09690427197764251,5.6132696353436184,0.0023825385694249412,414011.0,32402.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0052364000057423254,6.790000225009862e-05,40.0,0.0,x25519,728.0,59.0,0.03644130004249746,0.0023281000067072455,0.0028153499824838946,6.914999721630011e-05,0.00013091000014355816,1.6975000562524629e-06,5.0126796106655466e-05,8.645342906393231e-07,200.0,0.0,0.0,0.0,linear,1983.2015136718846,160.51157226563237,0.0,0.0,192.5,19.5,0.0,0.0,62.5,59.5,0.0,0.0,0.0,0.0,64.13404581217611,1.580623605797225,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,197628.5,30922.5,255.0,40.0,535.5,39.5,790.5,0.5,0.6774512314167294,0.05039686984909342,0.7360138498736,0.005391232338657126,AODV,200.0,0.0,157.5,9.5,633.0,10.0,633.0,10.0,62.5,59.5,20261409.0,500.0,35000.0,0.0,16.56044,1.29608,3586.595418782388,158.06236057972205,2,AODV (reference baseline) @ v=35000,AODV (reference baseline),speed,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,72.38265627126829,0.9049551998578806,5.338007478632479,0.11407585470085468,412727.0,42495.0,0.0,0.0,0.0,0.0,0.0,0.0,2691.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.006149050004751189,0.00023934998898766935,40.0,0.0,x25519,716.5,44.5,0.03897194999444764,0.0012449499845388345,0.003475250001429231,5.7650004237075336e-05,0.00015372625011877972,5.983749724691739e-06,5.4494403308440013e-05,1.646965753924281e-06,200.0,0.0,0.0,0.0,linear,1868.2483886718799,106.71684570312846,0.0,0.0,184.0,8.0,0.0,0.0,75.5,50.5,0.0,0.0,0.0,0.0,65.27761743363573,1.0816910069440056,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,200386.5,44197.5,259.5,58.5,532.5,52.5,792.0,6.0,0.6728892842794008,0.07138552488090455,0.7415055378261686,0.02721982354045427,AODV,200.0,0.0,160.0,21.0,632.0,27.0,632.0,27.0,75.5,50.5,20261409.0,500.0,40000.0,0.0,16.50908,1.6998000000000006,3472.2382566364267,108.1691006944011,2,AODV (reference baseline) @ v=40000,AODV (reference baseline),speed,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,72.35102008546,4.475897829309545,5.318851727003826,0.6453176541036667,482266.0,6886.0,0.0,0.0,0.0,0.0,0.0,0.0,2699.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.006348650005747913,6.550004400196485e-06,40.0,0.0,x25519,742.0,31.0,0.03916164998008753,0.001209050005854806,0.0032918999932007864,2.0999988919356838e-05,0.00015871625014369785,1.63750110004904e-07,5.280259339021703e-05,5.765908210807554e-07,200.0,0.0,0.0,0.0,linear,2021.0808105468811,304.4593261718712,0.0,0.0,119.5,39.5,0.0,0.0,58.0,31.0,0.0,0.0,0.0,0.0,63.765386553659624,3.053861797821355,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,137000.0,4285.0,177.5,8.5,622.5,8.5,800.0,0.0,0.778125,0.010624999999999996,0.8408951552302298,0.04658726389775891,EAURP,200.0,0.0,210.5,43.5,589.5,43.5,589.5,43.5,58.0,31.0,20261409.0,500.0,10000.0,0.0,19.29064,0.2754399999999997,3623.461344634038,305.3861797821353,2,EAURP (base.pdf substrate) @ v=10000,EAURP (base.pdf substrate),speed,10000,0.7749764367747694,0.008831479691887634,0.6376538655365962,0.030538617978213556,0.3623461344634038,0.030538617978213556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,75.77808528438372,2.159459215443121,5.7348997201492535,0.25728777985074647,505882.5,13557.5,0.0,0.0,0.0,0.0,0.0,0.0,2697.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0056281000088347355,0.0001345999971817946,40.0,0.0,x25519,791.0,5.0,0.04025835001084488,0.00014424997789319605,0.003110949985057232,0.00011144998461531941,0.0001407025002208684,3.3649999295448624e-06,5.0898698499603237e-05,5.041004682569072e-07,200.0,0.0,0.0,0.0,linear,2267.481835937497,64.84023437499036,0.0,0.0,136.0,10.0,0.0,0.0,6.5,5.5,0.0,0.0,0.0,0.0,61.305689619504435,0.6271759784135007,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,111552.5,10892.5,142.5,15.5,655.0,15.0,797.5,0.5,0.8213287296031798,0.019323717071851543,0.8279789532906261,0.013729589422941724,EAURP,200.0,0.0,232.0,17.0,565.5,17.5,565.5,17.5,6.5,5.5,20261409.0,500.0,15000.0,0.0,20.235300000000002,0.5422999999999991,3869.431038049557,62.717597841350425,2,EAURP (base.pdf substrate) @ v=15000,EAURP (base.pdf substrate),speed,15000,0.7670649079403671,0.0016005412278207731,0.6130568961950442,0.0062717597841350226,0.3869431038049557,0.0062717597841350226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
none,75.65512778716402,3.918824364180743,5.78601292078994,0.587274750442937,470639.5,23716.5,0.0,0.0,0.0,0.0,0.0,0.0,2698.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.005697199996575364,0.00018560000717116054,40.0,0.0,x25519,775.0,1.0,0.040801349950925214,0.000625850007054396,0.0031684999867138686,0.00014539999574481044,0.0001424299999143841,4.640000179279005e-06,5.2645948816497486e-05,7.396181396618058e-07,200.0,0.0,0.0,0.0,linear,2223.919824218754,191.45751953124602,0.0,0.0,166.0,24.0,0.0,0.0,24.5,0.5,0.0,0.0,0.0,0.0,61.71465033312569,1.9249815154335899,100.0,0.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,148201.0,20690.0,190.5,24.5,609.0,25.0,799.5,0.5,0.7617068210262828,0.03079317897371714,0.78576613655132,0.03124417272703056,EAURP,200.0,0.0,204.5,45.5,595.0,45.0,595.0,45.0,24.5,0.5,20261409.0,500.0,20000.0,0.0,18.82558,0.9486600000000003,3828.534966687431,192.4981515433592,2,EAURP (base.pdf substrate) @ v=20000,EAURP (base.pdf substrate),speed,20000,0.7681975108444346,0.005259298592130257,0.6171465033312569,0.019249815154335936,0.3828534966687431,0.019249815154335936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
