avg_delay_ms,derived,implementation,model,n_nodes,network_lifetime,nodes_flagged_malicious,packet_loss_bytes,packets_received,packets_sent,pdr,speed,sweep,throughput,track
125.27944873524815,True,A_paper_reimplementation,Existing,100,587.02,0.0,298414.5,335.5,594.0,0.48010961214165254,35000,speed,2.390620367278798,track1_as_is
124.1235807488734,True,A_paper_reimplementation,Existing,100,587.02,0.0,330957.0,310.5,597.0,0.44207116563040105,40000,speed,2.2258691151919865,track1_as_is
104.79275562634818,False,A_paper_reimplementation,EAURP,60,599.0,0.0,132364.0,415.5,587.0,0.7078418853029951,20000,density,4.285662771285476,track1_as_is
104.34534340351617,False,A_paper_reimplementation,EAURP,80,599.0,0.0,140523.0,413.0,594.5,0.6946990917579152,20000,density,4.219666110183639,track1_as_is
105.14485817243302,False,A_paper_reimplementation,EAURP,100,599.0,0.0,145544.0,405.0,593.0,0.6829699017199017,20000,density,4.205669449081803,track1_as_is
105.56909257695288,False,A_paper_reimplementation,EAURP,120,599.0,0.0,142797.5,410.0,595.5,0.6884989566296318,20000,density,4.285402337228715,track1_as_is
105.17062121591736,False,A_paper_reimplementation,EAURP,150,599.0,0.0,134404.5,418.0,594.0,0.7037085323168053,20000,density,4.3028848080133555,track1_as_is
106.54922738471538,False,A_paper_reimplementation,EAURP,200,599.0,0.0,141934.5,411.0,595.0,0.6907949743520213,20000,density,4.19228714524207,track1_as_is
92.8558327777822,False,A_paper_reimplementation,ATEAURP,60,599.0,0.0,54902.0,521.5,592.0,0.8809048237291521,20000,density,5.36138898163606,track1_as_is
91.37935318809554,False,A_paper_reimplementation,ATEAURP,80,599.0,1.5,56222.5,517.0,593.0,0.8718292155792156,20000,density,5.3028981636060095,track1_as_is
93.12786067165618,False,A_paper_reimplementation,ATEAURP,100,599.0,1.0,53006.5,522.5,593.0,0.8811129848229342,20000,density,5.422110183639399,track1_as_is
92.91636308384209,False,A_paper_reimplementation,ATEAURP,120,599.0,1.5,58990.5,517.0,595.0,0.8689075630252101,20000,density,5.281008347245409,track1_as_is
89.89705691534053,False,A_paper_reimplementation,ATEAURP,150,599.0,2.0,50116.5,528.5,595.5,0.8874851954204501,20000,density,5.446971619365609,track1_as_is
89.91963992188005,False,A_paper_reimplementation,ATEAURP,200,599.0,2.0,44310.5,539.5,597.0,0.9036693901371462,20000,density,5.476801335559266,track1_as_is
80.89411367376408,False,A_paper_reimplementation,PSE-EAURP,60,599.0,0.0,52953.5,521.5,591.5,0.8816431817532226,20000,density,5.344607679465776,track1_as_is
80.69939766240819,False,A_paper_reimplementation,PSE-EAURP,80,599.0,0.0,47009.5,528.5,590.5,0.895025667498351,20000,density,5.442938230383973,track1_as_is
81.43781463700233,False,A_paper_reimplementation,PSE-EAURP,100,599.0,0.5,47866.5,532.5,595.0,0.8949579831932774,20000,density,5.504507512520869,track1_as_is
80.78217864210006,False,A_paper_reimplementation,PSE-EAURP,120,599.0,0.0,42100.0,538.5,594.0,0.906592316521887,20000,density,5.556013355592654,track1_as_is
79.52567579104795,False,A_paper_reimplementation,PSE-EAURP,150,599.0,1.0,47120.5,534.0,596.5,0.8951940642477727,20000,density,5.521422370617696,track1_as_is
79.23974280368442,False,A_paper_reimplementation,PSE-EAURP,200,599.0,1.0,42991.5,540.0,597.0,0.9045083163116427,20000,density,5.488260434056761,track1_as_is
80.85167586334578,False,A_paper_reimplementation,DRL-EAURP,60,599.0,1.0,21781.5,562.5,590.5,0.9525925607272936,20000,density,5.748801335559266,track1_as_is
81.41643748386377,False,A_paper_reimplementation,DRL-EAURP,80,599.0,0.0,12681.0,575.0,592.5,0.9704318993659096,20000,density,5.8652353923205345,track1_as_is
81.07186880416103,False,A_paper_reimplementation,DRL-EAURP,100,599.0,0.0,24693.5,559.0,591.0,0.9458544839255499,20000,density,5.711405676126878,track1_as_is
80.63068900671227,False,A_paper_reimplementation,DRL-EAURP,120,599.0,0.0,19012.0,571.5,595.5,0.9597061643449326,20000,density,5.85681469115192,track1_as_is
80.64864068873337,False,A_paper_reimplementation,DRL-EAURP,150,599.0,0.5,19556.5,570.5,596.5,0.9564205615356511,20000,density,5.859859766277129,track1_as_is
80.67792115319514,False,A_paper_reimplementation,DRL-EAURP,200,599.0,0.0,14731.0,579.0,599.0,0.9666110183639398,20000,density,5.899098497495826,track1_as_is
125.75130675161782,True,A_paper_reimplementation,Existing,60,587.02,0.0,198546.0,415.5,587.0,0.6016656025075457,20000,density,2.999963939899833,track1_as_is
125.21441208421939,True,A_paper_reimplementation,Existing,80,587.02,0.0,210784.5,413.0,594.5,0.5904942279942279,20000,density,2.953766277128547,track1_as_is
126.17382980691961,True,A_paper_reimplementation,Existing,100,587.02,0.0,218316.0,405.0,593.0,0.5805244164619164,20000,density,2.943968614357262,track1_as_is
126.68291109234346,True,A_paper_reimplementation,Existing,120,587.02,0.0,214196.25,410.0,595.5,0.585224113135187,20000,density,2.9997816360601,track1_as_is
126.20474545910083,True,A_paper_reimplementation,Existing,150,587.02,0.0,201606.75,418.0,594.0,0.5981522524692845,20000,density,3.0120193656093486,track1_as_is
127.85907286165845,True,A_paper_reimplementation,Existing,200,587.02,0.0,212901.75,411.0,595.0,0.5871757281992181,20000,density,2.934601001669449,track1_as_is
